0;00h:00m:00s:000ms;Quest started: T0.1
0;00h:00m:00s:000ms;Quest started: Start [Getting Ready]
17.22509;00h:00m:17s:225ms;Quest started: T1.1
20.89188;00h:00m:20s:892ms;Quest started: ConfirmKeyPress
