114.3563;00h:01m:54s:356ms;Quest started: T0.1
114.3563;00h:01m:54s:356ms;Quest started: Start [Getting Ready]
144.575;00h:02m:24s:575ms;Quest started: T1.1
244.086;00h:04m:04s:086ms;Quest started: ConfirmKeyPress
329.7774;00h:05m:29s:777ms;Quest started: T1.3
334.5756;00h:05m:34s:576ms;Quest started: PressForwardToConfirm
383.3639;00h:06m:23s:364ms;Quest started: T1.6
383.3639;00h:06m:23s:364ms;Quest started: 1. Controls #1 [Connection]
414.1259;00h:06m:54s:126ms;Quest started: T2.1
627.6808;00h:10m:27s:681ms;Quest started: MoveForward
